model_file,learning_rate,hidden_size,num_layers,MAE,MSE,RMSE
LSTM_LR_0.0001_HSZ_256_NL_2_2025-02-02_02-56-57.pth,0.0001,256,2,0.17722637951374054,0.13105154037475586,0.36201041473244366
LSTM_LR_0.0001_HSZ_128_NL_2_2025-02-02_02-46-30.pth,0.0001,128,2,0.19447970390319824,0.1832384169101715,0.42806356643630805
LSTM_LR_0.0001_HSZ_128_NL_1_2025-02-02_02-44-21.pth,0.0001,128,1,0.18669690191745758,0.11660754680633545,0.341478471951506
LSTM_LR_0.0001_HSZ_256_NL_3_2025-02-02_03-04-19.pth,0.0001,256,3,0.1744014471769333,0.1478646844625473,0.3845317730208354
LSTM_LR_0.0001_HSZ_128_NL_3_2025-02-02_02-49-27.pth,0.0001,128,3,0.1868470013141632,0.16100512444972992,0.40125443854209253
LSTM_LR_0.0005_HSZ_256_NL_1_2025-02-02_02-18-23.pth,0.0005,256,1,0.09558513015508652,0.053487278521060944,0.23127316861465133
LSTM_LR_0.0005_HSZ_512_NL_3_2025-02-02_02-41-02.pth,0.0005,512,3,0.11042256653308868,0.0669516772031784,0.258750221648559
LSTM_LR_0.001_HSZ_128_NL_3_2025-02-02_01-33-36.pth,0.001,128,3,0.11184272915124893,0.06811146438121796,0.2609817318917513
LSTM_LR_0.001_HSZ_512_NL_3_2025-02-02_02-05-18.pth,0.001,512,3,0.10592126846313477,0.061549972742795944,0.24809266966759808
LSTM_LR_0.0005_HSZ_512_NL_1_2025-02-02_02-30-09.pth,0.0005,512,1,0.1183684691786766,0.06454278528690338,0.25405272147116115
LSTM_LR_0.0005_HSZ_128_NL_3_2025-02-02_02-14-24.pth,0.0005,128,3,0.21388700604438782,0.22655987739562988,0.4759830641899246
LSTM_LR_0.001_HSZ_256_NL_1_2025-02-02_01-37-07.pth,0.001,256,1,0.10510320961475372,0.05092238634824753,0.22565989087174426
LSTM_LR_0.001_HSZ_256_NL_2_2025-02-02_01-40-56.pth,0.001,256,2,0.09124946594238281,0.05582202225923538,0.23626684545072205
LSTM_LR_0.0005_HSZ_512_NL_2_2025-02-02_02-34-51.pth,0.0005,512,2,0.10652987658977509,0.06571392714977264,0.25634727841304
LSTM_LR_0.001_HSZ_128_NL_2_2025-02-02_01-30-02.pth,0.001,128,2,0.0960550457239151,0.057377755641937256,0.23953654343739966
LSTM_LR_0.0005_HSZ_128_NL_1_2025-02-02_02-09-24.pth,0.0005,128,1,0.10497009754180908,0.056555915623903275,0.23781487679264995
LSTM_LR_0.0001_HSZ_512_NL_3_2025-02-02_03-18-02.pth,0.0001,512,3,0.17082244157791138,0.15260449051856995,0.3906462472859172
LSTM_LR_0.0005_HSZ_256_NL_2_2025-02-02_02-22-04.pth,0.0005,256,2,0.10804133117198944,0.06572369486093521,0.2563663294212702
LSTM_LR_0.001_HSZ_512_NL_1_2025-02-02_01-51-11.pth,0.001,512,1,0.13331124186515808,0.08510035276412964,0.2917196475456009
LSTM_LR_0.0001_HSZ_256_NL_1_2025-02-02_02-53-39.pth,0.0001,256,1,0.1435224562883377,0.0761122927069664,0.27588456409695417
LSTM_LR_0.001_HSZ_512_NL_2_2025-02-02_01-56-10.pth,0.001,512,2,0.082333043217659,0.04875924065709114,0.2208149466342601
LSTM_LR_0.0005_HSZ_128_NL_2_2025-02-02_02-11-33.pth,0.0005,128,2,0.16243471205234528,0.11549975723028183,0.3398525521903313
LSTM_LR_0.0001_HSZ_512_NL_2_2025-02-02_03-12-31.pth,0.0001,512,2,0.12900297343730927,0.07633759826421738,0.276292595384345
LSTM_LR_0.001_HSZ_128_NL_1_2025-02-02_01-26-24.pth,0.001,128,1,0.1172163337469101,0.06021528318524361,0.24538802575766325
LSTM_LR_0.0001_HSZ_512_NL_1_2025-02-02_03-08-03.pth,0.0001,512,1,0.12432356923818588,0.06536470353603363,0.25566521768913664
LSTM_LR_0.001_HSZ_256_NL_3_2025-02-02_01-47-39.pth,0.001,256,3,0.12073542922735214,0.08673840016126633,0.29451383696061945
LSTM_LR_0.0005_HSZ_256_NL_3_2025-02-02_02-26-43.pth,0.0005,256,3,0.1421504020690918,0.10989606380462646,0.33150575229492846
